District,ELA_Proficiency,ELA_Proficiency_LowIncome,ELA_Proficiency_CWD,Math_Proficiency,Math_Proficiency_LowIncome,Math_Proficiency_CWD,Science_Proficiency,Science_Proficiency_LowIncome,Science_Proficiency_CWD
COUNTY OF WINNEBAGO SD 320,29.0,30.1,,22.3,31.0,,14.9,,
COWDEN-HERRICK CUSD 3A,75.3,72.7,56.5,50.6,40.9,,67.9,,
CRAB ORCHARD CUSD 3,57.2,51.2,,38.7,26.8,,54.7,,
CRESCENT IROQUOIS CUSD 249,50.0,,,,,,,,
CRESTON CCSD 161,66.0,,,70.2,52.6,,50.0,,
CRETE MONEE CUSD 201U,36.78,32.86,39.3,21.24,18.04,,25.25,14.7,
CREVE COEUR SD 76,40.4,40.3,,27.0,23.6,,,,
CRYSTAL LAKE CCSD 47,56.388888888888886,43.97777777777778,29.58888888888889,44.766666666666666,29.77777777777778,26.299999999999997,45.63333333333333,23.6,
CUMBERLAND CUSD 77,47.5,42.5,,56.0,50.0,,,,
CUSD 200,73.83076923076922,52.00909090909091,49.475,68.34615384615384,46.11,45.81666666666666,57.638461538461534,31.35,50.0
CUSD 201,75.9,67.4,63.5,71.6,54.7,58.1,54.7,36.7,39.3
CUSD 3 FULTON COUNTY,53.8,37.1,,39.7,34.3,,,,
CUSD 300,49.43157894736842,41.38947368421052,25.53846153846154,45.252631578947366,36.13157894736842,26.936363636363637,40.705882352941174,29.55454545454546,39.7
CUSD 308,58.276923076923076,43.607692307692304,28.5,47.43846153846154,31.258333333333336,27.714285714285715,49.26923076923077,44.8,47.8
CUSD 4,60.800000000000004,57.2,28.2,49.099999999999994,41.65,,40.8,32.7,
CYPRESS SD 64,36.7,37.9,,33.3,,,,,
DAKOTA CUSD 201,47.6,37.5,,45.3,39.8,26.2,39.3,,
DALLAS ESD 327,48.4,46.5,,34.4,38.0,,51.6,45.5,
DALZELL SD 98,65.4,,,,,,,,
DAMIANSVILLE SD 62,97.1,,94.1,82.6,,64.7,94.1,,
DANVILLE CCSD 118,25.75,24.083333333333332,,19.666666666666668,17.95,,34.6,,
DARIEN SD 61,62.6,48.4,25.4,58.3,37.5,23.7,41.7,,
DECATUR SD 61,18.57,16.0,,8.7625,6.585714285714286,,21.92,17.55,
DEER CREEK-MACKINAW CUSD 701,68.45,61.25,30.950000000000003,45.55,36.5,,65.4,52.8,
DEER PARK CCSD 82,80.0,,,50.0,,,,,
DEERFIELD SD 109,80.875,69.0,61.175,76.8,,57.75,58.575,,47.96666666666667
DEKALB CUSD 428,26.2875,19.6,14.5,21.85,16.2,,26.225,,
DELAND-WELDON CUSD 57,55.3,52.4,,34.2,,,,,
DELAVAN CUSD 703,40.8,31.0,,25.2,26.2,,39.4,,
DEPUE USD 103,17.2,14.9,,8.6,,,,,
DESOTO CONS SD 86,36.3,31.3,,17.7,,,32.3,,
DIAMOND LAKE SD 76,35.4,20.4,,30.0,15.6,20.4,33.8,20.0,
DIETERICH CUSD 30,70.9,60.0,,67.0,44.0,,76.2,,
DIMMICK COMMUNITY CONSOLIDATED SD #175,66.3,,,38.0,,,38.2,,
DISTRICT 50 SCHOOLS,36.25,25.7,,26.65,20.6,,43.1,35.2,
DIXON USD 170,41.25,33.849999999999994,16.5,41.9,32.0,16.7,32.6,25.5,
DOLTON SD 148,27.2,27.03333333333333,,13.466666666666667,13.383333333333333,,38.5,40.0,
DOLTON SD 149,23.860000000000003,23.64,,14.24,14.14,,,,
DONGOLA USD 66,27.1,27.1,,20.8,20.8,,,,
DONOVAN CUSD 3,61.3,58.5,,65.3,63.4,,63.0,75.0,
DOWNERS GROVE GSD 58,73.36363636363636,45.214285714285715,47.04545454545455,68.23636363636363,36.0,46.29090909090909,63.43636363636363,,50.0
DU QUOIN CUSD 300,52.5,45.150000000000006,,32.8,24.2,,38.7,29.0,
DUNLAP CUSD 323,74.32000000000001,45.35,43.760000000000005,67.66,36.9,38.475,58.5,,47.8
