,count,mean,std,min,25%,50%,75%,max,median,skew,kurtosis
SFA 10:0 (capric acid) (g),54.0,0.4052033445740741,0.2107928866638693,0.11615,0.2666292615,0.370833333,0.50461842125,1.217904762,0.370833333,1.403687943148906,3.249781027386503
SFA 12:0 (lauric acid) (g),54.0,0.6274614472592593,0.30368591188675026,0.1672,0.4608331525,0.585298701,0.79990159775,1.755809524,0.585298701,1.0479012975501854,2.4043948627959693
SFA 14:0 (myristic acid) (g),54.0,1.643038268833333,0.8636531337800353,0.525388889,1.10629166675,1.4514603175,1.9469743105,5.050380952,1.4514603175,1.6185527700672333,3.8081207560163395
SFA 16:0 (palmitic acid) (g),54.0,9.449517452851852,4.404632138999202,3.3099,6.796437747000001,8.5313479855,10.92636012,26.4797619,8.5313479855,1.4581104155253648,3.142031122899287
SFA 18:0 (stearic acid) (g),54.0,4.148220253425927,1.9113858264849515,1.498138889,2.96395864675,3.6866752135,4.792395833,11.80166667,3.6866752135,1.60277594341593,3.887572182316966
SFA 22:0 (behenic acid) (g),54.0,0.14865720996296297,0.16425502118084084,0.02095,0.0514887215,0.067988095,0.16534671025,0.6434,0.067988095,1.8206042676962682,2.3838917880045067
MUFA 16:1 (palmitoleic acid) (g),54.0,0.6264390553148147,0.320369160348083,0.225527778,0.44961249975,0.5348974355,0.70374999975,1.655619048,0.5348974355,1.5092553677145246,2.0524514039854265
MUFA 18:1 (oleic acid) (g),54.0,16.184660138444446,8.490976290930833,5.0645,10.55225,12.908785715,20.51066964,43.88890476,12.908785715,1.1654170279336882,0.9759037719420598
MUFA 20:1 (gadoleic acid) (g),54.0,0.19000637338888893,0.1164145559749282,0.05005,0.108339881,0.143190476,0.26526730775,0.50147619,0.143190476,1.0915061993021251,0.10870558128334373
"PUFA 18:2 (linoleic acid, undifferentiated) (g)",54.0,12.288385120703701,6.422773997951136,3.978,7.908165908999999,10.355747415,14.3133357825,33.36590476,10.355747415,1.502783599224368,2.4727512534378575
"PUFA 18:3 (linolenic acid, undifferentiated) (g)",54.0,1.435509502111111,0.8484987807667403,0.46635,0.8947873372499999,1.139573826,1.60358184525,4.567761905,1.139573826,1.7993543152296831,3.2986126833766938
Tryptophan (g),54.0,0.7274868107962962,0.34231915681556485,0.204388889,0.480793233,0.6243095240000001,0.93156477275,1.757714286,0.6243095240000001,0.9851205147248595,0.6140724731491258
Threonine (g),54.0,2.2722613936296296,1.0313025822684478,0.624083333,1.54195341625,2.0654285715,2.779003409,5.328809524,2.0654285715,0.9398882014788009,0.5936896435699408
Isoleucine (g),54.0,2.6683606517407403,1.2274451532206396,0.719611111,1.80319099375,2.3811666665,3.217115909,6.417333333,2.3811666665,0.9640356718183335,0.7069501497100146
Leucine (g),54.0,4.679783743259259,2.148769711745257,1.256583333,3.165464912,4.2673488615,5.786170454500001,11.22685714,4.2673488615,0.9237064077769334,0.5867985753133649
Lysine (g),54.0,3.7721837663148157,1.705074165104997,0.982527778,2.59186283675,3.518833333,4.73623863625,8.892047619,3.518833333,0.9027800730150631,0.6644102647700354
Methionine (g),54.0,1.3198709295185185,0.5989275015191202,0.352916667,0.90347826075,1.1974523810000002,1.6049136365,3.149571429,1.1974523810000002,0.9528294328401861,0.7433650655252033
Cystine (g),54.0,0.7034428464814814,0.31104704300216907,0.20775,0.4956033835,0.5998571429999999,0.9295232142500001,1.73547619,0.5998571429999999,1.015355488212984,1.0507185344494254
Phenylalanine (g),54.0,2.717489232814815,1.2588985353236974,0.736027778,1.8347359024999998,2.40719686,3.40216363625,6.570857143,2.40719686,0.9435810671219789,0.569356024262885
Tyrosine (g),54.0,2.202429144851852,1.044100176366895,0.565638889,1.4522518792499999,1.9904178740000003,2.7275136365,5.377952381,1.9904178740000003,0.9211383183689994,0.5819804517110128
Valine (g),54.0,3.1266650904444444,1.4401333320156822,0.828277778,2.09408207975,2.846836111,3.7631,7.512380952,2.846836111,0.9115438834663157,0.596104273918729
Arginine (g),54.0,2.713797258944444,1.2676182575129107,0.847666667,1.8985238092499999,2.302161905,3.4359339285,6.386571429,2.302161905,1.0619407377208514,0.5183236260471835
Histidine (g),54.0,1.5884667713703704,0.7220345380422829,0.443805556,1.0798195487500002,1.4520158730000001,1.94925,3.779333333,1.4520158730000001,0.9596405038756697,0.6235945005928234
